validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
2.5065159797668457,0,2,,,,
,1,4,0.6906335949897766,1.1244490139006302e-07,0.6906334757804871,682.5040893554688
0.6417993307113647,1,5,,,,
0.7432182431221008,2,8,,,,
,3,9,0.7941927313804626,6.128879448397129e-08,0.7941926121711731,315.0001525878906
0.7464669942855835,3,11,,,,
,4,14,0.5758791565895081,3.7757612147970576e-08,0.5758790969848633,140.64205932617188
0.6012760400772095,4,14,,,,
0.4752170443534851,5,17,,,,
,6,19,0.4557943344116211,2.8779451710647663e-08,0.4557942748069763,43.03694534301758
0.3613074719905853,6,20,,,,
0.32523036003112793,7,23,,,,
,8,24,0.3188372850418091,2.249833741529983e-08,0.3188372254371643,25.9553279876709
0.3070221543312073,8,26,,,,
,9,29,0.2914183735847473,1.9915066928888336e-08,0.2914183437824249,22.013227462768555
0.29704126715660095,9,29,,,,
0.28761520981788635,10,32,,,,
,11,34,0.2926291823387146,1.8594807471572494e-08,0.2926291227340698,19.408567428588867
0.29829710721969604,11,35,,,,
0.27785801887512207,12,38,,,,
,13,39,0.26580628752708435,1.7761761839096835e-08,0.26580628752708435,17.713075637817383
0.27334457635879517,13,41,,,,
,14,44,0.2533676028251648,1.75366423604828e-08,0.25336754322052,16.883392333984375
0.27026548981666565,14,44,,,,
0.26871323585510254,15,47,,,,
,16,49,0.25911766290664673,1.638564661732289e-08,0.25911766290664673,16.78436279296875
0.26779699325561523,16,50,,,,
0.26654502749443054,17,53,,,,
,18,54,0.2667417526245117,1.5176375711689616e-08,0.26674172282218933,16.529239654541016
0.2657521665096283,18,56,,,,
,19,59,0.2566869556903839,1.4836576411880742e-08,0.2566869556903839,15.530410766601562
0.26414766907691956,19,59,,,,
0.26333698630332947,20,62,,,,
,21,64,0.26176717877388,1.4365373779412494e-08,0.26176717877388,15.434053421020508
0.26265183091163635,21,65,,,,
0.2622721791267395,22,68,,,,
,23,69,0.26510459184646606,1.4076348087144197e-08,0.26510459184646606,14.668827056884766
0.26165202260017395,23,71,,,,
,24,74,0.26863348484039307,1.3807687437861205e-08,0.26863348484039307,14.398674964904785
0.26084765791893005,24,74,,,,
0.2601548731327057,25,77,,,,
,26,79,0.2626427114009857,1.3722338820798541e-08,0.2626427114009857,13.915257453918457
0.25917619466781616,26,80,,,,
0.2585625946521759,27,83,,,,
,28,84,0.256099671125412,1.4004627679753412e-08,0.256099671125412,14.02373218536377
0.2575135827064514,28,86,,,,
,29,89,0.2590548098087311,1.4156707806023405e-08,0.2590548098087311,13.826659202575684
0.2569868266582489,29,89,,,,
0.2562928795814514,30,92,,,,
,31,94,0.2556549906730652,1.4252964142258406e-08,0.2556549906730652,13.135307312011719
0.2560911178588867,31,95,,,,
0.25628170371055603,32,98,,,,
,33,99,0.25623753666877747,1.443196495642951e-08,0.25623753666877747,13.422350883483887
0.25532013177871704,33,101,,,,
,34,104,0.25352975726127625,1.4973636552895186e-08,0.25352975726127625,13.911062240600586
0.2548716068267822,34,104,,,,
0.2538676857948303,35,107,,,,
,36,109,0.25413191318511963,1.5529076691223054e-08,0.25413191318511963,14.039050102233887
0.25381216406822205,36,110,,,,
0.2523713707923889,37,113,,,,
,38,114,0.25274452567100525,1.584277242727694e-08,0.25274449586868286,14.243664741516113
0.25241002440452576,38,116,,,,
,39,119,0.25216397643089294,1.600537657964196e-08,0.25216394662857056,14.129395484924316
0.25149744749069214,39,119,,,,
0.251373827457428,40,122,,,,
,41,124,0.24930524826049805,1.5997365210296266e-08,0.24930524826049805,14.077731132507324
0.2509706914424896,41,125,,,,
0.2505838871002197,42,128,,,,
,43,129,0.2504425644874573,1.602362331709628e-08,0.2504425346851349,14.141491889953613
0.2508487105369568,43,131,,,,
,44,134,0.2508660554885864,1.5797791519389648e-08,0.25086602568626404,13.782835006713867
0.25145864486694336,44,134,,,,
0.2520683705806732,45,137,,,,
