validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
178.9857177734375,0,2,,,,
,1,4,107.36357116699219,0.15591755509376526,107.20764923095703,102.13162994384766
97.45903015136719,1,5,,,,
33.008846282958984,2,8,,,,
,3,9,33.065189361572266,0.07860756665468216,32.98657989501953,14.58358097076416
22.484359741210938,3,11,,,,
,4,14,20.82528305053711,0.04232453554868698,20.782958984375,6.650732517242432
20.177846908569336,4,14,,,,
18.521995544433594,5,17,,,,
,6,19,18.11741828918457,0.02724519558250904,18.09017562866211,4.101789951324463
17.53389549255371,6,20,,,,
17.229690551757812,7,23,,,,
,8,24,17.258134841918945,0.014883545227348804,17.24325180053711,2.527182102203369
17.077953338623047,8,26,,,,
,9,29,17.13443946838379,0.006841660477221012,17.12759780883789,1.3197009563446045
17.086973190307617,9,29,,,,
17.081968307495117,10,32,,,,
,11,34,17.062780380249023,0.0011981294956058264,17.06158447265625,0.38552019000053406
17.048812866210938,11,35,,,,
17.02701759338379,12,38,,,,
,13,39,17.11151123046875,0.0002265362854814157,17.111286163330078,0.10855700820684433
17.036972045898438,13,41,,,,
,14,44,17.035661697387695,7.004431972745806e-05,17.03559112548828,0.04666697978973389
17.036731719970703,14,44,,,,
17.044954299926758,15,47,,,,
