validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
43.15488815307617,0,2,,,,
53.843082427978516,1,5,,,,
52.33251953125,2,8,,,,
42.03157424926758,3,11,,,,
31.10477066040039,4,14,,,,
23.43768310546875,5,17,,,,
,6,19,21.69757652282715,0.4191836416721344,21.278392791748047,252.472412109375
19.483278274536133,6,20,,,,
17.8059024810791,7,23,,,,
17.068635940551758,8,26,,,,
16.78607177734375,9,29,,,,
16.659284591674805,10,32,,,,
16.61625862121582,11,35,,,,
16.584157943725586,12,38,,,,
,13,39,16.533336639404297,0.030370596796274185,16.502967834472656,21.631738662719727
16.562217712402344,13,41,,,,
16.563987731933594,14,44,,,,
16.558725357055664,15,47,,,,
16.5482120513916,16,50,,,,
16.554706573486328,17,53,,,,
16.551244735717773,18,56,,,,
,19,59,16.470680236816406,0.01535868737846613,16.455320358276367,0.6552056670188904
16.55539894104004,19,59,,,,
