validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
0.023397400975227356,0,2,,,,
,1,4,0.01745298132300377,8.744969818508253e-05,0.017365530133247375,1563.638427734375
0.011425918899476528,1,5,,,,
0.004771560430526733,2,8,,,,
,3,9,0.004733685404062271,2.7697416953742504e-05,0.004705988336354494,556.2664794921875
0.0024546231143176556,3,11,,,,
,4,14,0.0016973107121884823,1.205312400998082e-05,0.001685257419012487,204.09320068359375
0.0015556544531136751,4,14,,,,
0.0009897269774228334,5,17,,,,
,6,19,0.0008321939967572689,8.858166438585613e-06,0.0008233358385041356,132.44546508789062
0.0006831268547102809,6,20,,,,
0.0005990202771499753,7,23,,,,
,8,24,0.0006004733731970191,7.083036962285405e-06,0.0005933904321864247,101.97015380859375
0.000593711796682328,8,26,,,,
,9,29,0.000575748854316771,4.94062851430499e-06,0.0005708081880584359,72.80142211914062
0.0005601848242804408,9,29,,,,
0.0005267084925435483,10,32,,,,
,11,34,0.000504039169754833,4.288738637114875e-06,0.0004997503710910678,60.87028121948242
0.0004660663253162056,11,35,,,,
0.00044450940913520753,12,38,,,,
,13,39,0.0004435989249031991,3.2630355235596653e-06,0.00044033589074388146,44.57472229003906
0.00042689990368671715,13,41,,,,
,14,44,0.0004144184640608728,2.4391276838287013e-06,0.0004119793011341244,33.044593811035156
0.00041187088936567307,14,44,,,,
0.00040776788955554366,15,47,,,,
,16,49,0.00040456117130815983,2.0306795249780407e-06,0.00040253045153804123,28.045818328857422
0.0004066484689246863,16,50,,,,
0.0003976093721576035,17,53,,,,
,18,54,0.00039865099824965,1.956565483851591e-06,0.0003966944641433656,26.515697479248047
0.0003974114079028368,18,56,,,,
,19,59,0.00040500424802303314,1.718582097964827e-06,0.000403285666834563,24.429542541503906
0.0004015598678961396,19,59,,,,
0.0004026581591460854,20,62,,,,
