loss,L1 sub-loss,KL sub-loss,MSE sub-loss,epoch,step
105.39189910888672,0.7949588894844055,10254106.0,2.771353006362915,6,24
58.301082611083984,0.7989994287490845,5546888.5,2.752300500869751,12,49
43.503379821777344,0.7985610365867615,4069917.0,2.724353790283203,18,74
7.88523530960083,0.7988255620002747,508438.875,2.720963954925537,24,99
8.975555419921875,0.7990659475326538,616576.75,2.729882001876831,31,124
6.926539897918701,0.7979913949966431,411292.15625,2.7338194847106934,37,149
6.487818717956543,0.7982473373413086,367927.6875,2.72871732711792,43,174
3.466660737991333,0.798221230506897,66985.421875,2.716984510421753,49,199
6.197720050811768,0.7984152436256409,338581.34375,2.732065200805664,56,224
6.116157531738281,0.798142671585083,329660.0,2.739743709564209,62,249
5.820456504821777,0.7980692386627197,299943.65625,2.741213321685791,68,274
3.423990488052368,0.7982513308525085,63515.8125,2.7090072631835938,74,299
6.371228218078613,0.7983783483505249,356251.0,2.7288804054260254,81,324
6.144809722900391,0.7981982827186584,334088.0625,2.724109172821045,87,349
5.6733880043029785,0.7980301380157471,286299.75,2.7305874824523926,93,374
3.4591097831726074,0.7980700731277466,63704.30859375,2.7422597408294678,99,399
6.224174976348877,0.7983442544937134,341845.375,2.725886821746826,106,424
6.061544418334961,0.7981215119361877,323645.5625,2.745277166366577,112,449
5.430826187133789,0.7978758811950684,261131.4375,2.7397243976593018,118,474
3.412320375442505,0.7981728911399841,57271.1015625,2.7597920894622803,124,499
6.729641914367676,0.7984675168991089,391754.5,2.732250213623047,131,524
6.301139831542969,0.7980853319168091,348589.5,2.73543643951416,137,549
5.45269775390625,0.7978565096855164,262193.59375,2.7509765625,143,574
3.368130683898926,0.7980425953865051,56184.46875,2.7264819145202637,149,599
