validation loss,epoch,step
0.6452351808547974,0,2
0.49194109439849854,1,5
0.44502022862434387,2,8
0.4495498239994049,3,11
0.4267691671848297,4,14
0.4253365099430084,5,17
0.4270072281360626,6,20
