validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
63.52061080932617,0,2,,,,
58.83598327636719,1,5,,,,
53.02924346923828,2,8,,,,
41.98582458496094,3,11,,,,
31.99365234375,4,14,,,,
24.966012954711914,5,17,,,,
,6,19,23.24471092224121,1.1055455207824707,22.139163970947266,232.317626953125
20.81349754333496,6,20,,,,
18.655214309692383,7,23,,,,
17.585296630859375,8,26,,,,
17.092239379882812,9,29,,,,
16.852418899536133,10,32,,,,
16.7386417388916,11,35,,,,
16.670915603637695,12,38,,,,
,13,39,16.621784210205078,0.09392661601305008,16.52785873413086,22.093013763427734
16.63603973388672,13,41,,,,
16.584125518798828,14,44,,,,
16.563213348388672,15,47,,,,
16.562021255493164,16,50,,,,
16.56145668029785,17,53,,,,
16.559650421142578,18,56,,,,
,19,59,16.50798797607422,0.039220377802848816,16.468767166137695,0.4376055598258972
16.564266204833984,19,59,,,,
16.5553035736084,20,62,,,,
16.53926658630371,21,65,,,,
16.551809310913086,22,68,,,,
16.55313491821289,23,71,,,,
16.547771453857422,24,74,,,,
