validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
1.0999420881271362,0,2,,,,
,1,4,0.8064528703689575,0.6823335289955139,0.12411937862634659,986.9238891601562
0.5272583961486816,1,5,,,,
0.3686937093734741,2,8,,,,
,3,9,0.36939340829849243,0.2465963065624237,0.12279713153839111,604.5786743164062
0.29731523990631104,3,11,,,,
,4,14,0.27126696705818176,0.1616992950439453,0.10956769436597824,502.4483337402344
0.2577188313007355,4,14,,,,
0.22873695194721222,5,17,,,,
,6,19,0.22098928689956665,0.1147233098745346,0.10626597702503204,427.6353454589844
0.204247385263443,6,20,,,,
0.18332268297672272,7,23,,,,
,8,24,0.18250057101249695,0.07870668172836304,0.1037939041852951,345.2760314941406
0.16505971550941467,8,26,,,,
,9,29,0.15488913655281067,0.054526299238204956,0.10036283731460571,287.079345703125
0.14953680336475372,9,29,,,,
0.13615356385707855,10,32,,,,
,11,34,0.13250622153282166,0.032289355993270874,0.10021687299013138,215.02200317382812
0.1250627636909485,11,35,,,,
0.11607185006141663,12,38,,,,
,13,39,0.11566407233476639,0.017553133890032768,0.09811093658208847,163.9236602783203
0.10888659209012985,13,41,,,,
,14,44,0.10550667345523834,0.006752677261829376,0.09875399619340897,94.19636535644531
0.10392611473798752,14,44,,,,
0.10105530172586441,15,47,,,,
,16,49,0.10038886219263077,0.0017865371191874146,0.09860231727361679,38.26497268676758
0.09930534660816193,16,50,,,,
0.09884849935770035,17,53,,,,
,18,54,0.09914135187864304,0.00034100591437891126,0.09880035370588303,7.0954389572143555
0.09856908768415451,18,56,,,,
,19,59,0.09885316342115402,0.00020079375826753676,0.09865236282348633,0.33518877625465393
0.09872066229581833,19,59,,,,
0.0990656316280365,20,62,,,,
,21,64,0.09835208207368851,0.00017971114721149206,0.09817236661911011,0.3065670132637024
0.0985751524567604,21,65,,,,
