validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
2.487035036087036,0,2,,,,
,1,4,0.6437599062919617,1.1373138477210887e-05,0.6437485218048096,666.7239990234375
0.6430143117904663,1,5,,,,
0.7141962647438049,2,8,,,,
,3,9,0.863291323184967,6.581823527085362e-06,0.8632847666740417,337.0749206542969
0.7037564516067505,3,11,,,,
,4,14,0.5431435704231262,3.7517324926739093e-06,0.5431398749351501,150.87933349609375
0.563223659992218,4,14,,,,
0.41821175813674927,5,17,,,,
,6,19,0.5261045098304749,3.1550264338875422e-06,0.5261013507843018,46.33962631225586
0.33775314688682556,6,20,,,,
0.2992335259914398,7,23,,,,
,8,24,0.386682391166687,2.7311439225741196e-06,0.38667961955070496,29.53264808654785
0.2835014760494232,8,26,,,,
,9,29,0.25265389680862427,2.283978801642661e-06,0.2526516318321228,26.13985252380371
0.2773222327232361,9,29,,,,
0.2739810645580292,10,32,,,,
,11,34,0.2645758390426636,2.1181647298362805e-06,0.26457372307777405,23.4736270904541
0.26910465955734253,11,35,,,,
0.2669452130794525,12,38,,,,
,13,39,0.27587631344795227,2.0100587789784186e-06,0.2758743166923523,22.47074317932129
0.2649520933628082,13,41,,,,
,14,44,0.2519991993904114,1.985242079172167e-06,0.2519972026348114,21.034059524536133
0.2636556923389435,14,44,,,,
0.26262572407722473,15,47,,,,
,16,49,0.2642022669315338,1.9123183392366627e-06,0.264200359582901,19.546144485473633
0.26128724217414856,16,50,,,,
0.25986048579216003,17,53,,,,
,18,54,0.262781023979187,1.8180717233917676e-06,0.26277920603752136,18.866382598876953
0.2595931589603424,18,56,,,,
,19,59,0.2525027394294739,1.7605282209842699e-06,0.2525009512901306,19.18276023864746
0.25898781418800354,19,59,,,,
0.2573544979095459,20,62,,,,
,21,64,0.2545308470726013,1.825410208766698e-06,0.25452902913093567,19.138208389282227
0.25637200474739075,21,65,,,,
0.2551499009132385,22,68,,,,
,23,69,0.2514307498931885,1.887919438559038e-06,0.25142884254455566,19.286121368408203
0.25464779138565063,23,71,,,,
,24,74,0.25243210792541504,1.8804063302013674e-06,0.2524302303791046,19.427907943725586
0.2546471059322357,24,74,,,,
0.25392788648605347,25,77,,,,
,26,79,0.25584179162979126,1.8621676645125262e-06,0.2558399438858032,19.282974243164062
0.25265195965766907,26,80,,,,
0.25150617957115173,27,83,,,,
,28,84,0.25293582677841187,1.9061534430875327e-06,0.25293391942977905,19.624116897583008
0.2500922977924347,28,86,,,,
,29,89,0.24665142595767975,1.9488707039272413e-06,0.24664950370788574,19.8218936920166
0.24927257001399994,29,89,,,,
0.24864555895328522,30,92,,,,
,31,94,0.24651376903057098,1.997636445594253e-06,0.246511772274971,20.396347045898438
0.24783486127853394,31,95,,,,
0.24721786379814148,32,98,,,,
,33,99,0.24668288230895996,2.0656079868786037e-06,0.2466808259487152,20.26697540283203
0.24726472795009613,33,101,,,,
,34,104,0.24520036578178406,2.0514728475973243e-06,0.2451983094215393,19.9654541015625
0.24688203632831573,34,104,,,,
0.24680344760417938,35,107,,,,
,36,109,0.2467697113752365,2.0671154743467923e-06,0.24676764011383057,19.898696899414062
0.24764525890350342,36,110,,,,
0.24800197780132294,37,113,,,,
,38,114,0.24584469199180603,1.981049308596994e-06,0.24584271013736725,20.067333221435547
0.2484191209077835,38,116,,,,
