validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
7.744847774505615,0,2,,,,
,1,4,13.220651626586914,0.030154937878251076,13.190498352050781,14098.208984375
9.211519241333008,1,5,,,,
6.545310020446777,2,8,,,,
,3,9,6.599532127380371,0.010415980592370033,6.58911657333374,5141.208984375
4.120336532592773,3,11,,,,
,4,14,3.130688190460205,0.005272794980555773,3.125415086746216,1850.529296875
3.203035593032837,4,14,,,,
3.5661303997039795,5,17,,,,
,6,19,3.3356523513793945,0.0030486665200442076,3.332603693008423,708.425537109375
2.7894039154052734,6,20,,,,
2.776948928833008,7,23,,,,
,8,24,2.7654008865356445,0.0019116192124783993,2.7634894847869873,292.9020080566406
2.6275954246520996,8,26,,,,
,9,29,2.509983777999878,0.0016470906557515264,2.5083367824554443,218.14491271972656
2.479107141494751,9,29,,,,
2.419337272644043,10,32,,,,
,11,34,2.4019908905029297,0.001527235610410571,2.400463342666626,186.3505401611328
2.399412155151367,11,35,,,,
2.395775318145752,12,38,,,,
,13,39,2.3889682292938232,0.0013959207572042942,2.3875725269317627,153.3611602783203
2.3975989818573,13,41,,,,
,14,44,2.3816773891448975,0.0012529832310974598,2.3804244995117188,125.86103820800781
2.3944125175476074,14,44,,,,
2.3894293308258057,15,47,,,,
,16,49,2.369624137878418,0.0011343350633978844,2.3684897422790527,105.22608184814453
2.385404586791992,16,50,,,,
2.381411552429199,17,53,,,,
,18,54,2.3697850704193115,0.0010715235257521272,2.368713617324829,93.76268768310547
2.3810877799987793,18,56,,,,
,19,59,2.375467300415039,0.0010199758689850569,2.3744473457336426,83.12403869628906
2.3761160373687744,19,59,,,,
2.3741726875305176,20,62,,,,
,21,64,2.3681960105895996,0.0009782279375940561,2.367217540740967,75.12232208251953
2.374570846557617,21,65,,,,
2.37306547164917,22,68,,,,
,23,69,2.3622519969940186,0.0009169139084406197,2.361335277557373,65.93383026123047
2.3742659091949463,23,71,,,,
,24,74,2.3707032203674316,0.0008747802348807454,2.369828701019287,61.122711181640625
2.3722870349884033,24,74,,,,
2.3729193210601807,25,77,,,,
,26,79,2.3745169639587402,0.0008034355705603957,2.373713731765747,54.60962677001953
2.372596263885498,26,80,,,,
2.3748576641082764,27,83,,,,
