loss,L1 component,KL component,MSE component,epoch,step
1834958.5,574.4437255859375,666794.9375,1167589.125,6,24
1246173.125,383.710205078125,491175.59375,754613.8125,12,49
511474.4375,291.6907958984375,208914.625,302268.125,18,74
341110.09375,292.13885498046875,32856.3203125,307961.65625,24,99
385553.25,232.0909881591797,183826.625,201494.515625,31,124
383475.90625,192.49868774414062,199300.640625,183982.765625,37,149
463622.46875,199.52017211914062,236751.34375,226671.609375,43,174
261113.265625,227.23777770996094,19367.666015625,241518.359375,49,199
180218.625,164.18959045410156,88608.5,91445.9453125,56,224
148737.4375,148.3547821044922,79119.109375,69469.9765625,62,249
132734.8125,135.91123962402344,80067.5859375,52531.30859375,68,274
40892.01953125,113.4201889038086,8865.8994140625,31912.69921875,74,299
93664.140625,122.78983306884766,42182.6875,51358.66015625,81,324
66050.0234375,104.08397674560547,31855.724609375,34090.21484375,87,349
73474.953125,104.68600463867188,32416.80859375,40953.453125,93,374
22182.896484375,83.79611206054688,7070.63818359375,15028.4619140625,99,399
47909.1796875,87.26616668701172,17766.51953125,30055.39453125,106,424
45396.890625,84.29622650146484,25560.150390625,19752.4453125,112,449
31782.794921875,77.92626190185547,13122.4921875,18582.376953125,118,474
31790.658203125,93.78041076660156,2528.769287109375,29168.107421875,124,499
19722.1953125,59.810272216796875,9185.1923828125,10477.1923828125,131,524
17450.466796875,60.68931198120117,9350.453125,8039.32470703125,137,549
17732.55859375,55.44345474243164,9447.1630859375,8229.9521484375,143,574
2932.09423828125,41.380760192871094,878.7694091796875,2011.944091796875,149,599
