validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
0.4157557785511017,0,2,,,,
,1,4,0.18495340645313263,7.302872108994052e-05,0.1848803609609604,752.2799072265625
0.1458655297756195,1,5,,,,
0.09730707108974457,2,8,,,,
,3,9,0.10641966015100479,3.746272705029696e-05,0.10638219118118286,264.3437805175781
0.07695721834897995,3,11,,,,
,4,14,0.07229658216238022,2.2570035071112216e-05,0.07227400690317154,83.68534851074219
0.06451787054538727,4,14,,,,
0.058445777744054794,5,17,,,,
,6,19,0.06181184574961662,1.6707876056898385e-05,0.06179513782262802,46.142494201660156
0.05678373947739601,6,20,,,,
0.05668627470731735,7,23,,,,
,8,24,0.05814071744680405,1.433360102964798e-05,0.058126382529735565,37.08818817138672
0.05728239566087723,8,26,,,,
,9,29,0.05796778202056885,1.2509689440776128e-05,0.05795527249574661,30.495197296142578
0.05784342810511589,9,29,,,,
0.05858160927891731,10,32,,,,
