validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
16.204898834228516,0,2,,,,
,1,4,13.952629089355469,0.7221442461013794,13.230484008789062,14223.603515625
7.7547526359558105,1,5,,,,
9.58509635925293,2,8,,,,
,3,9,9.641456604003906,1.12306809425354,8.518387794494629,13750.671875
7.460361480712891,3,11,,,,
,4,14,5.7430925369262695,0.536160409450531,5.206932067871094,6322.29931640625
4.9737629890441895,4,14,,,,
3.6943235397338867,5,17,,,,
,6,19,3.389679431915283,0.14195840060710907,3.2477211952209473,2047.4920654296875
2.8462071418762207,6,20,,,,
2.44673490524292,7,23,,,,
,8,24,2.442025661468506,0.03569481894373894,2.4063310623168945,613.4196166992188
2.3795135021209717,8,26,,,,
,9,29,2.3578240871429443,0.020131994038820267,2.3376922607421875,355.4070739746094
2.3523030281066895,9,29,,,,
2.3382060527801514,10,32,,,,
,11,34,2.3319356441497803,0.01662963069975376,2.3153061866760254,301.9190673828125
2.327219009399414,11,35,,,,
2.3261523246765137,12,38,,,,
,13,39,2.3174147605895996,0.013449301943182945,2.3039655685424805,255.5215606689453
2.319627523422241,13,41,,,,
,14,44,2.3095827102661133,0.009602698497474194,2.2999799251556396,183.6900634765625
2.3165528774261475,14,44,,,,
2.3129611015319824,15,47,,,,
,16,49,2.3087968826293945,0.007199582643806934,2.3015971183776855,131.92626953125
2.308720827102661,16,50,,,,
2.3083178997039795,17,53,,,,
,18,54,2.3106706142425537,0.005358788650482893,2.305311679840088,88.38957214355469
2.306145191192627,18,56,,,,
,19,59,2.2961971759796143,0.004400794394314289,2.2917966842651367,64.31485748291016
2.3055577278137207,19,59,,,,
2.3037109375,20,62,,,,
,21,64,2.2916624546051025,0.0038726639468222857,2.287789821624756,48.137386322021484
2.300136089324951,21,65,,,,
2.2989284992218018,22,68,,,,
,23,69,2.3004884719848633,0.0036632067058235407,2.2968251705169678,38.80823516845703
2.299504280090332,23,71,,,,
,24,74,2.2917490005493164,0.0036092568188905716,2.288139820098877,33.554786682128906
2.299312114715576,24,74,,,,
2.2996058464050293,25,77,,,,
