loss,L1 component,KL component,MSE component,epoch,step
3.3299107551574707,1.2664132118225098,1.647269606590271,0.4162279963493347,6,24
2.0131709575653076,1.0034739971160889,0.8162024617195129,0.19349460303783417,12,49
1.2187844514846802,0.7726715803146362,0.3654100000858307,0.08070283383131027,18,74
0.6392204165458679,0.5827227830886841,0.027799662202596664,0.02869795262813568,24,99
0.4725096523761749,0.4356229901313782,0.029779013246297836,0.007107642013579607,31,124
0.375471293926239,0.36965465545654297,0.004675587173551321,0.0011410340666770935,37,149
0.3127777576446533,0.3120242655277252,0.0006019258871674538,0.00015156310109887272,43,174
0.34202826023101807,0.34196412563323975,2.2501448256662115e-05,4.1620554839028046e-05,49,199
0.3037790358066559,0.30369630455970764,5.561886791838333e-05,2.712095738388598e-05,56,224
0.2777578830718994,0.2776787281036377,5.383686948334798e-05,2.5331852157250978e-05,62,249
0.28915366530418396,0.2890738248825073,5.4692158300895244e-05,2.5145671315840445e-05,68,274
0.29837387800216675,0.2983367443084717,1.2315977073740214e-05,2.482047966623213e-05,74,299
0.26867419481277466,0.2685873210430145,6.198209302965552e-05,2.4886590836104006e-05,81,324
0.29045483469963074,0.29036885499954224,6.104179192334414e-05,2.493556348781567e-05,87,349
0.2742806673049927,0.2741893529891968,6.635852332692593e-05,2.4937075068010017e-05,93,374
0.2615891993045807,0.26154908537864685,1.5123036973818671e-05,2.4990620659082197e-05,99,399
0.2727578282356262,0.2726626694202423,7.02768302289769e-05,2.4890319764381275e-05,106,424
0.2580898106098175,0.25799107551574707,7.371053652605042e-05,2.5025134164025076e-05,112,449
0.2676171064376831,0.26751768589019775,7.440429908456281e-05,2.501069502613973e-05,118,474
0.2704467177391052,0.2704046070575714,1.685863571765367e-05,2.5231231120415032e-05,124,499
0.2641196846961975,0.2640168368816376,7.793211989337578e-05,2.4927383492467925e-05,131,524
0.2578474283218384,0.2577420771121979,8.041616820264608e-05,2.4942661184468307e-05,137,549
0.27069348096847534,0.27058839797973633,7.992584869498387e-05,2.5149473003693856e-05,143,574
0.27744659781455994,0.2774040699005127,1.759774204401765e-05,2.4936069166869856e-05,149,599
