loss,L1 component,KL component,MSE component,epoch,step
11.277324676513672,9.017609596252441,2.044642686843872,0.21507219970226288,6,24
7.730612754821777,6.890974044799805,0.7350693941116333,0.10456924885511398,12,49
5.3164544105529785,5.017486095428467,0.26815083622932434,0.030817609280347824,18,74
3.7535653114318848,3.7374355792999268,0.011136610992252827,0.0049933139234781265,24,99
3.0786776542663574,3.0736498832702637,0.004474091809242964,0.0005535809323191643,31,124
3.008267879486084,3.0078341960906982,0.0003731995529960841,6.062325701350346e-05,37,149
2.7126200199127197,2.7124648094177246,0.00012790657638106495,2.749380473687779e-05,43,174
3.1763815879821777,3.1763319969177246,2.4237682737293653e-05,2.5200648451573215e-05,49,199
2.8300812244415283,2.8299341201782227,0.00012201006029499695,2.5007380827446468e-05,56,224
2.5985848903656006,2.598426580429077,0.00013316361582838,2.4956707420642488e-05,62,249
2.7348334789276123,2.734672784805298,0.00013575430784840137,2.5027033188962378e-05,68,274
2.841089963912964,2.8410348892211914,3.032493987120688e-05,2.47531079367036e-05,74,299
2.5529234409332275,2.5527474880218506,0.00015111759421415627,2.483791467966512e-05,81,324
2.7725322246551514,2.7723593711853027,0.0001479495840612799,2.4882916477508843e-05,87,349
2.6193902492523193,2.619205951690674,0.00015943781181704253,2.488514655851759e-05,93,374
2.492877960205078,2.492816686630249,3.6205645301379263e-05,2.4947938072727993e-05,99,399
2.6076138019561768,2.607421398162842,0.0001675170788075775,2.4843006031005643e-05,106,424
