loss,L1 component (1.0x),KL component (1e-14x),MSE component (1e-05x),epoch,step
26736054.0,7.611635208129883,9238917035327488.0,26735954.0,6,24
6154089.0,4.410399436950684,4190191568814080.0,6154042.5,12,49
2342834.75,3.1722917556762695,973047188160512.0,2342821.75,18,74
