validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
2.482957363128662,0,2,,,,
,1,4,0.6197620034217834,0.00010400213795946911,0.6196579337120056,661.1993408203125
0.6349138021469116,1,5,,,,
0.7090550661087036,2,8,,,,
,3,9,0.8555096983909607,6.14344171481207e-05,0.855448305606842,327.94158935546875
0.731670618057251,3,11,,,,
,4,14,0.8695500493049622,3.9981412555789575e-05,0.8695101141929626,146.51881408691406
0.5777628421783447,4,14,,,,
0.4377516806125641,5,17,,,,
,6,19,0.46374934911727905,3.1325042073149234e-05,0.4637180268764496,48.89012908935547
0.36042529344558716,6,20,,,,
0.32895177602767944,7,23,,,,
,8,24,0.26333922147750854,2.675616997294128e-05,0.2633124589920044,30.049802780151367
0.3148236870765686,8,26,,,,
,9,29,0.32825541496276855,2.4866931198630482e-05,0.32823053002357483,28.147071838378906
0.3042078912258148,9,29,,,,
0.29304319620132446,10,32,,,,
,11,34,0.26087483763694763,2.288788164150901e-05,0.2608519494533539,24.438655853271484
0.28411203622817993,11,35,,,,
0.27624058723449707,12,38,,,,
,13,39,0.2751423716545105,2.1264864699332975e-05,0.2751210927963257,23.701534271240234
0.26989099383354187,13,41,,,,
,14,44,0.272708922624588,1.9923108993680216e-05,0.27268898487091064,22.641460418701172
0.26550620794296265,14,44,,,,
0.2623371481895447,15,47,,,,
,16,49,0.25056830048561096,1.8540198652772233e-05,0.2505497634410858,21.127592086791992
0.25938692688941956,16,50,,,,
0.257671982049942,17,53,,,,
,18,54,0.2445772886276245,1.7217002096003853e-05,0.24456006288528442,19.69779396057129
0.25611844658851624,18,56,,,,
,19,59,0.24527914822101593,1.6031004633987322e-05,0.24526309967041016,18.509279251098633
0.25573593378067017,19,59,,,,
0.2546379864215851,20,62,,,,
,21,64,0.25295254588127136,1.604718818271067e-05,0.2529365122318268,17.719642639160156
0.2537651062011719,21,65,,,,
0.2522876262664795,22,68,,,,
,23,69,0.24816563725471497,1.647894168854691e-05,0.24814914166927338,17.742143630981445
0.2547764182090759,23,71,,,,
,24,74,0.2541847825050354,1.6899091860977933e-05,0.2541678845882416,18.10353660583496
0.251760870218277,24,74,,,,
0.2510237693786621,25,77,,,,
,26,79,0.24787887930870056,1.7542555724503472e-05,0.2478613406419754,17.896242141723633
0.25026774406433105,26,80,,,,
0.25038421154022217,27,83,,,,
,28,84,0.2517087459564209,1.8042790543404408e-05,0.25169071555137634,18.00509262084961
0.25058111548423767,28,86,,,,
,29,89,0.25594234466552734,1.8733971955953166e-05,0.2559235990047455,18.023706436157227
0.25061553716659546,29,89,,,,
