validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
43.33287811279297,0,2,,,,
54.66509246826172,1,5,,,,
53.68369674682617,2,8,,,,
43.29267883300781,3,11,,,,
32.37942886352539,4,14,,,,
24.4547119140625,5,17,,,,
,6,19,22.638458251953125,0.4300486743450165,22.208410263061523,224.39268493652344
20.044843673706055,6,20,,,,
18.102006912231445,7,23,,,,
17.24466896057129,8,26,,,,
16.88646697998047,9,29,,,,
16.71407699584961,10,32,,,,
16.630447387695312,11,35,,,,
16.600215911865234,12,38,,,,
,13,39,16.57223129272461,0.033951275050640106,16.538278579711914,21.493139266967773
16.58352279663086,13,41,,,,
16.56020164489746,14,44,,,,
16.566448211669922,15,47,,,,
16.57046127319336,16,50,,,,
16.561466217041016,17,53,,,,
