loss,L1 component,KL component,MSE component,epoch,step
16.52610969543457,15.87122917175293,0.23656731843948364,0.4183138310909271,0,24
11.032537460327148,10.158296585083008,0.0912383496761322,0.7830033302307129,0,49
5.548027038574219,5.472522735595703,0.014242468401789665,0.06126173213124275,0,74
3.244553565979004,3.2200875282287598,0.003628294914960861,0.020837722346186638,0,99
1.531655192375183,1.530222773551941,0.00022207315487321466,0.0012102990876883268,1,124
1.1235270500183105,1.1234066486358643,1.9468341633910313e-05,0.0001010229971143417,1,149
0.9368783235549927,0.9368258118629456,4.007568350061774e-06,4.8512731154914945e-05,1,174
0.7770648002624512,0.7770271301269531,3.607034841479617e-06,3.403300070203841e-05,1,199
0.770054280757904,0.7700181603431702,3.863320671371184e-06,3.226559783797711e-05,2,224
0.724822998046875,0.7247822284698486,3.5949294669990195e-06,3.719940650626086e-05,2,249
0.6629988551139832,0.6629637479782104,4.5191063691163436e-06,3.05495377688203e-05,2,274
0.6713864207267761,0.6713438630104065,3.40168639922922e-06,3.914839544449933e-05,2,299
0.5912817120552063,0.5912424325942993,4.461472144612344e-06,3.480386294540949e-05,3,324
0.6287654638290405,0.6287298202514648,4.679287940234644e-06,3.096342697972432e-05,3,349
0.5626620054244995,0.5626243948936462,5.017199327994604e-06,3.2624000596115366e-05,3,374
0.5901183485984802,0.5900818705558777,4.882267148786923e-06,3.161815766361542e-05,3,399
