training_loss,epoch,step
2.5526771545410156,0,0
8.523797035217285,0,1
2.130714178085327,0,2
2.254481315612793,0,3
2.941797971725464,1,4
2.935908079147339,1,5
2.6799330711364746,1,6
2.4556069374084473,1,7
2.3340418338775635,2,8
2.3083131313323975,2,9
2.286546230316162,2,10
2.308044910430908,2,11
2.2672417163848877,3,12
2.2237284183502197,3,13
2.1742022037506104,3,14
2.0850512981414795,3,15
2.037656545639038,4,16
1.9810867309570312,4,17
1.90068781375885,4,18
1.814911961555481,4,19
1.6979920864105225,5,20
1.5694931745529175,5,21
1.4679405689239502,5,22
1.3095766305923462,5,23
1.20620596408844,6,24
1.0592416524887085,6,25
0.9319079518318176,6,26
0.8201941847801208,6,27
0.6834445595741272,7,28
0.5707994699478149,7,29
0.47412562370300293,7,30
0.38307762145996094,7,31
0.3058231770992279,8,32
0.2569286525249481,8,33
0.22214537858963013,8,34
0.21093502640724182,8,35
0.2019968181848526,9,36
0.2088918536901474,9,37
0.21995976567268372,9,38
0.22452977299690247,9,39
0.23382937908172607,10,40
0.23206087946891785,10,41
0.22943738102912903,10,42
0.22487692534923553,10,43
0.2095305174589157,11,44
0.19020016491413116,11,45
0.1750829964876175,11,46
0.1594942957162857,11,47
0.1413913071155548,12,48
0.12218610942363739,12,49
0.11879988014698029,12,50
0.10814659297466278,12,51
0.10301290452480316,13,52
0.10159794241189957,13,53
0.10279139876365662,13,54
0.09604649245738983,13,55
0.10536471754312515,14,56
0.1123213842511177,14,57
0.11278239637613297,14,58
0.10468243062496185,14,59
0.1080610528588295,15,60
0.11070141941308975,15,61
0.10728861391544342,15,62
0.10554645955562592,15,63
0.10081609338521957,16,64
0.09428462386131287,16,65
0.09429708123207092,16,66
0.08950459957122803,16,67
0.08403869718313217,17,68
0.08476917445659637,17,69
0.07906422764062881,17,70
0.08049055933952332,17,71
0.07972005754709244,18,72
0.07847496122121811,18,73
0.08041825145483017,18,74
0.08131042867898941,18,75
0.08073766529560089,19,76
0.08007460087537766,19,77
0.08291707187891006,19,78
0.07994118332862854,19,79
0.07655748724937439,20,80
0.08122312277555466,20,81
0.07966584712266922,20,82
0.07746787369251251,20,83
0.0753464624285698,21,84
0.07546675205230713,21,85
0.0753919705748558,21,86
0.07631158828735352,21,87
0.07748418301343918,22,88
0.07283799350261688,22,89
0.07353655993938446,22,90
0.07908346503973007,22,91
0.07363322377204895,23,92
0.0767805352807045,23,93
0.0745338648557663,23,94
0.07466007769107819,23,95
0.07346872985363007,24,96
0.07269807904958725,24,97
0.07091327756643295,24,98
0.07485157251358032,24,99
0.07417652010917664,25,100
0.07013475894927979,25,101
0.07193700969219208,25,102
0.07276329398155212,25,103
0.07314646989107132,26,104
0.07341184467077255,26,105
0.06996700912714005,26,106
0.06663692742586136,26,107
0.06831808388233185,27,108
0.07291217893362045,27,109
0.07052353024482727,27,110
0.07826109975576401,27,111
0.07367240637540817,28,112
0.07280930131673813,28,113
0.0694754347205162,28,114
0.0744231790304184,28,115
0.0689803808927536,29,116
0.06944513320922852,29,117
0.06900421530008316,29,118
0.0681491568684578,29,119
0.06851128488779068,30,120
0.06985251605510712,30,121
0.07016371935606003,30,122
0.06744199991226196,30,123
0.07015938311815262,31,124
0.06506820023059845,31,125
0.07003948837518692,31,126
0.06409625709056854,31,127
0.06405597925186157,32,128
0.06673640757799149,32,129
0.06498192250728607,32,130
0.0634516105055809,32,131
0.06908288598060608,33,132
0.06731072813272476,33,133
0.06805736571550369,33,134
0.06231828033924103,33,135
0.06472612172365189,34,136
0.0677797794342041,34,137
0.0674019455909729,34,138
0.06632744520902634,34,139
0.06521444022655487,35,140
0.06612471491098404,35,141
0.06517672538757324,35,142
0.06410902738571167,35,143
0.06639730930328369,36,144
0.06430695205926895,36,145
0.06264186650514603,36,146
0.06691990047693253,36,147
0.0670703575015068,37,148
0.06388828158378601,37,149
0.06394117325544357,37,150
0.06192686781287193,37,151
0.061452873051166534,38,152
0.06720035523176193,38,153
0.06254693865776062,38,154
0.06866350024938583,38,155
0.0626906007528305,39,156
0.06447006016969681,39,157
0.06357323378324509,39,158
0.06319916248321533,39,159
0.06380020081996918,40,160
0.0633300393819809,40,161
0.06441571563482285,40,162
0.06255967915058136,40,163
0.062479496002197266,41,164
0.05846506357192993,41,165
0.06518671661615372,41,166
0.06280653178691864,41,167
0.06156998127698898,42,168
0.06089117377996445,42,169
0.060978420078754425,42,170
0.06588400900363922,42,171
0.061691492795944214,43,172
0.06330756098031998,43,173
0.06303627043962479,43,174
0.06514739245176315,43,175
0.05948531627655029,44,176
0.061954353004693985,44,177
0.0615093931555748,44,178
0.060705285519361496,44,179
0.06008845567703247,45,180
0.05985564738512039,45,181
0.05904863029718399,45,182
0.05891679227352142,45,183
0.06282220035791397,46,184
0.059704530984163284,46,185
0.0622982494533062,46,186
0.06433610618114471,46,187
0.05956234782934189,47,188
0.06169072911143303,47,189
0.05952656269073486,47,190
0.061124127358198166,47,191
0.06161517649888992,48,192
0.06151407212018967,48,193
0.05972440540790558,48,194
0.05827052891254425,48,195
0.06137324124574661,49,196
0.05767383798956871,49,197
0.05792064219713211,49,198
0.053287070244550705,49,199
0.06011154502630234,50,200
0.05890733376145363,50,201
0.05951150134205818,50,202
0.05735613405704498,50,203
0.0555921345949173,51,204
0.05778723955154419,51,205
0.05922281742095947,51,206
0.05712923780083656,51,207
0.058477528393268585,52,208
0.06007349491119385,52,209
0.05744902417063713,52,210
0.062021445482969284,52,211
0.060153521597385406,53,212
0.05820320546627045,53,213
0.05946437269449234,53,214
0.06190001964569092,53,215
0.05676921829581261,54,216
0.05686626210808754,54,217
0.05737198516726494,54,218
0.056838005781173706,54,219
0.057743631303310394,55,220
0.05868837609887123,55,221
0.05782235413789749,55,222
0.057199522852897644,55,223
0.055782292038202286,56,224
0.05738677829504013,56,225
0.05992282181978226,56,226
0.0579163022339344,56,227
0.05623197183012962,57,228
0.05599946156144142,57,229
0.05559196695685387,57,230
0.057534437626600266,57,231
0.057705603539943695,58,232
0.055628467351198196,58,233
0.05478077381849289,58,234
0.055266354233026505,58,235
0.053659871220588684,59,236
0.05534019693732262,59,237
0.05577986314892769,59,238
0.056721944361925125,59,239
0.057220667600631714,60,240
0.05520151928067207,60,241
0.05749267712235451,60,242
