validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
0.6544365882873535,0,2,,,,
0.48943227529525757,1,5,,,,
0.45143595337867737,2,8,,,,
0.4409779906272888,3,11,,,,
0.4365491271018982,4,14,,,,
0.4333949387073517,5,17,,,,
0.4303479492664337,6,20,,,,
0.4271746277809143,7,23,,,,
,8,24,0.42160600423812866,0.00738411583006382,0.4142218828201294,145.68296813964844
0.42551568150520325,8,26,,,,
0.4242017865180969,9,29,,,,
0.42207372188568115,10,32,,,,
0.42223629355430603,11,35,,,,
0.4207910895347595,12,38,,,,
0.4197303354740143,13,41,,,,
0.41944098472595215,14,44,,,,
0.4205920696258545,15,47,,,,
,16,49,0.41624942421913147,4.198901660856791e-05,0.4162074327468872,4.4976959228515625
0.41967636346817017,16,50,,,,
0.41972142457962036,17,53,,,,
