validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
20.29827308654785,0,2,,,,
,1,4,291.4081726074219,17.31512451171875,274.09307861328125,10346.462890625
1380.2955322265625,1,5,,,,
160.33522033691406,2,8,,,,
,3,9,157.65687561035156,4.020489692687988,153.63638305664062,2662.382080078125
16.303192138671875,3,11,,,,
,4,14,6.410994052886963,0.512283980846405,5.898710250854492,110.95982360839844
4.685317039489746,4,14,,,,
2.786689519882202,5,17,,,,
,6,19,2.5678162574768066,0.02139272913336754,2.5464234352111816,11.403129577636719
2.4573678970336914,6,20,,,,
2.3794541358947754,7,23,,,,
,8,24,2.372842311859131,0.0036816103383898735,2.3691606521606445,2.007192373275757
2.353421449661255,8,26,,,,
,9,29,2.300812244415283,0.0019504341762512922,2.2988619804382324,1.1152257919311523
2.339139938354492,9,29,,,,
2.331545829772949,10,32,,,,
,11,34,2.31427264213562,0.0013364404439926147,2.3129360675811768,0.9004400372505188
2.3271396160125732,11,35,,,,
2.3233518600463867,12,38,,,,
,13,39,2.3113839626312256,0.0006490832893177867,2.310734748840332,0.6195336580276489
2.3227615356445312,13,41,,,,
,14,44,2.3219289779663086,0.0004817510489374399,2.3214471340179443,0.5418422222137451
2.3217320442199707,14,44,,,,
2.3208506107330322,15,47,,,,
,16,49,2.311094284057617,0.00022606950369663537,2.310868501663208,0.39960265159606934
2.3187832832336426,16,50,,,,
2.3181557655334473,17,53,,,,
,18,54,2.309980869293213,0.0002644641208462417,2.30971622467041,0.40303102135658264
2.320341110229492,18,56,,,,
,19,59,2.3410255908966064,0.0003444140311330557,2.340681314468384,0.43491601943969727
2.318606376647949,19,59,,,,
2.3176469802856445,20,62,,,,
,21,64,2.3112685680389404,0.00015392506611533463,2.31111478805542,0.29537808895111084
2.31797456741333,21,65,,,,
2.316678047180176,22,68,,,,
,23,69,2.3014609813690186,0.00011809157876996323,2.3013429641723633,0.24887830018997192
2.3197553157806396,23,71,,,,
,24,74,2.303166627883911,0.000125882143038325,2.3030407428741455,0.277180939912796
2.3163628578186035,24,74,,,,
2.316615581512451,25,77,,,,
,26,79,2.3033933639526367,0.00012746961147058755,2.3032658100128174,0.26064443588256836
2.3163537979125977,26,80,,,,
2.3153655529022217,27,83,,,,
,28,84,2.3174097537994385,0.00018763437401503325,2.3172221183776855,0.3084791898727417
2.321139335632324,28,86,,,,
,29,89,2.3098673820495605,0.00011120573617517948,2.309756278991699,0.2244551181793213
2.3142504692077637,29,89,,,,
2.315242290496826,30,92,,,,
,31,94,2.3028438091278076,0.00013883197971154004,2.3027050495147705,0.29607319831848145
2.316861391067505,31,95,,,,
2.3207201957702637,32,98,,,,
