validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
44.608619689941406,0,2,,,,
55.273658752441406,1,5,,,,
54.14962387084961,2,8,,,,
44.14015579223633,3,11,,,,
33.31850814819336,4,14,,,,
25.370084762573242,5,17,,,,
,6,19,23.398927688598633,0.48667651414871216,22.912248611450195,246.64659118652344
20.619335174560547,6,20,,,,
18.380983352661133,7,23,,,,
17.34903907775879,8,26,,,,
16.92534828186035,9,29,,,,
16.746292114257812,10,32,,,,
16.658809661865234,11,35,,,,
16.620325088500977,12,38,,,,
,13,39,16.586898803710938,0.0384521484375,16.548446655273438,20.63923454284668
16.601613998413086,13,41,,,,
16.58116340637207,14,44,,,,
16.57201385498047,15,47,,,,
16.565914154052734,16,50,,,,
16.554834365844727,17,53,,,,
16.564939498901367,18,56,,,,
,19,59,16.49313735961914,0.01395220123231411,16.479185104370117,0.6626402735710144
16.550893783569336,19,59,,,,
16.556276321411133,20,62,,,,
16.559663772583008,21,65,,,,
16.55849838256836,22,68,,,,
