validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
2.5416271686553955,0,2,,,,
,1,4,0.662238597869873,0.00011906188592547551,0.6621195077896118,679.2064819335938
0.6414465308189392,1,5,,,,
0.7153946757316589,2,8,,,,
,3,9,0.8122855424880981,6.674452015431598e-05,0.8122186660766602,315.9457702636719
0.7498720288276672,3,11,,,,
,4,14,1.0570427179336548,3.857006231555715e-05,1.0570042133331299,140.32086181640625
0.5946551561355591,4,14,,,,
0.4341190457344055,5,17,,,,
,6,19,0.5035712122917175,2.773897722363472e-05,0.5035435557365417,51.20096969604492
0.34079447388648987,6,20,,,,
0.3086468279361725,7,23,,,,
,8,24,0.35150277614593506,2.2921340132597834e-05,0.3514798581600189,28.832416534423828
0.2988402247428894,8,26,,,,
,9,29,0.28453993797302246,1.6947538824751973e-05,0.28452298045158386,23.932504653930664
0.29680097103118896,9,29,,,,
0.2943436801433563,10,32,,,,
,11,34,0.27564364671707153,1.1698670277837664e-05,0.27563196420669556,19.189273834228516
0.28853726387023926,11,35,,,,
0.2816354036331177,12,38,,,,
,13,39,0.2843746840953827,1.093313312594546e-05,0.284363716840744,16.313989639282227
0.2768906056880951,13,41,,,,
,14,44,0.2618273198604584,1.0323723472538404e-05,0.26181697845458984,15.164565086364746
0.2746221125125885,14,44,,,,
0.27317720651626587,15,47,,,,
,16,49,0.26874274015426636,9.407892321178224e-06,0.26873335242271423,13.55899715423584
0.27264443039894104,16,50,,,,
0.2721346616744995,17,53,,,,
,18,54,0.26535218954086304,8.799233910394832e-06,0.26534339785575867,13.011930465698242
0.2712189555168152,18,56,,,,
,19,59,0.2657872140407562,8.64580215420574e-06,0.2657785713672638,12.467132568359375
0.2692410945892334,19,59,,,,
0.2706230580806732,20,62,,,,
,21,64,0.2696816921234131,8.816366971586831e-06,0.26967287063598633,12.407376289367676
0.2669573724269867,21,65,,,,
0.26503172516822815,22,68,,,,
,23,69,0.26269540190696716,9.026722182170488e-06,0.2626863420009613,12.45821762084961
0.26421844959259033,23,71,,,,
,24,74,0.262530654668808,8.919382707972545e-06,0.2625217139720917,11.971213340759277
0.2639358937740326,24,74,,,,
0.26420989632606506,25,77,,,,
,26,79,0.2637806236743927,8.50391461426625e-06,0.2637721300125122,11.28173542022705
0.26370975375175476,26,80,,,,
0.2636735439300537,27,83,,,,
,28,84,0.26283934712409973,8.370790055778343e-06,0.2628309726715088,11.126627922058105
0.2638453245162964,28,86,,,,
,29,89,0.26176995038986206,8.131291906465776e-06,0.2617618143558502,11.30645751953125
0.2642778754234314,29,89,,,,
0.26444631814956665,30,92,,,,
