loss,L1 component,KL component,MSE component,epoch,step
1.4238277673721313,0.8610879182815552,0.4927814304828644,0.06995843350887299,6,24
0.8448386192321777,0.6474242806434631,0.17776867747306824,0.01964569464325905,12,49
0.5591456294059753,0.48135584592819214,0.06943177431821823,0.008358019404113293,18,74
0.37311694025993347,0.3681597411632538,0.003182991873472929,0.0017742164200171828,24,99
0.30839890241622925,0.3066084086894989,0.0015754547202959657,0.0002150500804418698,31,124
0.3017541766166687,0.3015027940273285,0.00021136396389920264,4.001907291240059e-05,37,149
0.27226442098617554,0.2721211612224579,0.00011701665061991662,2.6241670639137737e-05,43,174
0.31844422221183777,0.3183952271938324,2.385221523582004e-05,2.5145649487967603e-05,49,199
0.283830851316452,0.28368502855300903,0.00012085701018804684,2.498495814506896e-05,56,224
0.26061534881591797,0.2604583501815796,0.0001320168375968933,2.4959465008578263e-05,62,249
0.27423521876335144,0.2740755081176758,0.00013466716336552054,2.5028888558153994e-05,68,274
0.2847438156604767,0.2846889793872833,3.0104294637567364e-05,2.4750632292125374e-05,74,299
0.25598403811454773,0.2558092176914215,0.00014999679115135223,2.4833623683662154e-05,81,324
0.2778910994529724,0.2777193784713745,0.00014682544860988855,2.48791493504541e-05,87,349
0.2626083791255951,0.2624252140522003,0.00015828138566575944,2.4890874556149356e-05,93,374
0.2497972846031189,0.24973639845848083,3.5945206036558375e-05,2.494217551429756e-05,99,399
0.2613760828971863,0.2611849904060364,0.0001662755385041237,2.48383676080266e-05,106,424
0.24672721326351166,0.2465282678604126,0.00017396692419424653,2.49712320510298e-05,112,449
0.2562255561351776,0.25602537393569946,0.00017523314454592764,2.4956538254627958e-05,118,474
