validation loss,epoch,step,training loss,L1 component,MSE component,L0 sparsity
155.79197692871094,0,2,,,,
,1,4,35.41117858886719,0.2886486053466797,35.122528076171875,421.6414794921875
18.60994529724121,1,5,,,,
20.06753921508789,2,8,,,,
,3,9,20.063222885131836,0.1011737585067749,19.96204948425293,107.4644546508789
19.64146614074707,3,11,,,,
,4,14,17.734411239624023,0.05490705370903015,17.67950439453125,30.83036231994629
16.928115844726562,4,14,,,,
16.309940338134766,5,17,,,,
,6,19,16.25777816772461,0.0453975535929203,16.21238136291504,19.524412155151367
16.24510955810547,6,20,,,,
16.259798049926758,7,23,,,,
,8,24,16.279142379760742,0.034448400139808655,16.244693756103516,15.837176322937012
16.277536392211914,8,26,,,,
,9,29,16.28521728515625,0.029151704162359238,16.256065368652344,11.7603120803833
16.26094627380371,9,29,,,,
